time latency
0.0 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 46
0.2 48
0.2 51
0.2 54
0.2 56
0.2 59
0.2 62
0.2 64
0.2 67
0.2 70
0.3 72
0.3 75
0.3 80
0.3 86
0.3 91
0.3 96
0.3 104
0.3 110
0.4 115
0.4 120
0.4 126
0.4 126
0.4 123
0.4 123
0.4 126
0.4 128
0.4 128
0.5 126
0.5 126
0.5 128
0.5 131
0.5 134
0.5 136
0.5 134
0.5 134
0.5 136
0.5 134
0.6 126
0.6 120
0.6 120
0.6 120
0.7 123
0.7 123
0.7 123
0.7 123
0.7 120
0.8 115
0.8 115
0.8 118
0.8 120
0.8 120
0.8 123
0.9 126
0.9 126
0.9 126
0.9 128
0.9 126
0.9 126
0.9 128
0.9 126
0.9 126
1.0 128
1.0 131
1.0 131
1.0 128
1.0 128
1.0 131
1.0 128
1.0 128
1.0 131
1.0 128
1.1 126
1.1 126
1.1 128
1.1 131
1.1 131
1.1 128
1.1 128
1.1 131
1.1 134
1.1 134
1.1 131
1.1 131
1.2 134
1.2 131
1.2 128
1.2 128
1.2 131
1.2 126
1.3 120
1.3 123
1.3 123
1.3 126
1.4 120
1.4 120
1.4 118
1.5 120
1.5 120
1.6 120
1.6 120
1.6 120
1.7 120
1.7 120
1.7 123
1.7 123
1.8 123
1.8 123
1.8 126
1.8 123
1.8 123
1.9 120
1.9 120
1.9 120
1.9 120
1.9 120
1.9 120
1.9 123
2.0 123
2.0 123
2.0 126
2.0 128
2.0 128
2.1 120
2.1 120
2.1 120
2.1 120
2.1 123
2.1 126
2.1 128
2.2 131
2.2 131
2.2 131
2.2 123
2.2 123
2.3 118
2.3 118
2.3 118
2.3 118
2.4 118
2.4 118
2.4 120
2.5 123
2.5 123
2.5 126
2.5 123
2.5 120
2.5 120
2.6 120
2.6 120
2.6 120
2.6 120
2.6 123
2.7 123
2.7 123
2.7 126
2.7 128
2.7 128
2.7 126
2.7 128
2.7 126
2.8 126
2.8 128
2.8 128
2.8 126
2.8 126
2.8 128
2.8 131
2.8 134
2.8 131
2.8 134
2.8 136
2.9 134
2.9 134
2.9 136
2.9 134
2.9 131
2.9 131
2.9 134
2.9 131
2.9 128
2.9 128
3.0 131
3.0 134
3.0 131
3.0 131
3.0 128
3.0 128
3.0 131
3.0 128
3.0 131
3.0 134
3.1 131
3.1 131
3.1 128
3.1 131
3.1 128
3.1 128
3.1 126
3.1 128
3.1 126
3.1 126
3.1 123
3.2 126
3.2 123
3.2 123
3.2 126
3.2 128
3.2 126
3.2 126
3.2 128
3.2 128
3.3 131
3.3 134
3.3 131
3.3 131
3.3 134
3.3 131
3.3 131
3.3 134
3.3 131
3.3 128
3.4 131
3.4 131
3.4 128
3.4 128
3.4 126
3.4 126
3.4 128
3.4 128
3.4 126
3.4 128
3.4 128
3.5 126
3.5 126
3.5 128
3.5 131
3.5 134
3.5 131
3.5 134
3.5 136
3.5 134
3.5 134
3.6 136
3.6 134
3.6 131
3.6 131
3.6 134
3.6 131
3.6 128
3.6 128
3.6 131
3.6 134
