time latency
0.0 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 43
0.1 46
0.2 48
0.2 51
0.2 54
0.2 56
0.2 59
0.2 62
0.2 64
0.2 67
0.2 70
0.3 72
0.3 75
0.3 80
0.3 86
0.3 91
0.3 96
0.3 96
0.3 96
0.4 96
0.4 96
0.4 96
0.4 94
0.4 94
0.4 96
0.4 99
0.4 96
0.4 94
0.4 96
0.5 99
0.5 96
0.5 94
0.5 94
0.5 96
0.5 94
0.5 94
0.5 94
0.6 94
0.6 94
0.6 94
0.6 94
0.6 94
0.7 94
0.7 94
0.7 94
0.7 94
0.7 96
0.7 99
0.7 96
0.7 94
0.8 94
0.8 96
0.8 99
0.8 96
0.8 94
0.8 96
0.8 99
0.8 96
0.8 94
0.8 94
0.8 96
0.9 96
0.9 99
0.9 96
0.9 94
0.9 96
0.9 99
0.9 96
0.9 94
0.9 96
0.9 96
0.9 99
0.9 96
1.0 96
1.0 94
1.0 96
1.0 96
1.0 94
1.0 99
1.0 96
1.0 96
1.0 99
1.0 96
1.0 94
1.0 96
1.1 99
1.1 96
1.1 96
1.1 94
1.1 96
1.1 96
1.1 99
1.1 96
1.1 94
1.1 96
1.1 94
1.1 94
1.2 96
1.2 96
1.2 99
1.2 96
1.2 94
1.2 96
1.2 99
1.2 96
1.2 96
1.2 94
1.3 96
1.3 94
1.3 94
1.3 94
1.3 94
1.3 94
1.4 94
1.4 94
1.4 94
1.4 94
1.4 94
1.5 94
1.5 94
1.5 94
1.5 94
1.5 94
1.6 94
1.6 94
1.6 94
1.6 94
1.6 94
1.7 94
1.7 94
1.7 94
1.7 94
1.7 94
1.8 94
1.8 94
1.8 94
1.8 94
1.8 94
1.9 94
1.9 94
1.9 94
1.9 94
1.9 94
1.9 94
2.0 94
2.0 94
2.0 94
2.0 94
2.1 94
2.1 94
2.1 94
2.1 94
2.1 94
2.1 94
2.2 94
2.2 94
2.2 94
2.2 94
2.3 94
2.3 94
2.3 94
2.3 94
2.3 94
2.4 94
2.4 94
2.4 94
2.4 94
2.4 94
2.5 94
2.5 94
2.5 94
2.5 94
2.5 94
2.5 94
2.6 94
2.6 94
2.6 96
2.6 99
2.6 96
2.6 94
2.6 94
2.6 96
2.7 99
2.7 96
2.7 94
2.7 96
2.7 96
2.7 96
2.7 94
2.7 94
2.7 96
2.7 96
2.7 94
2.8 94
2.8 96
2.8 96
2.8 94
2.8 94
2.8 96
2.8 96
2.8 94
2.8 94
2.8 96
2.9 96
2.9 94
2.9 94
2.9 96
2.9 99
2.9 96
2.9 94
2.9 94
2.9 96
2.9 96
2.9 96
3.0 94
3.0 96
3.0 99
3.0 96
3.0 94
3.0 94
3.0 96
3.0 96
3.0 96
3.0 94
3.0 96
3.1 99
3.1 96
3.1 94
3.1 94
3.1 96
3.1 96
3.1 96
3.1 94
3.1 96
3.1 96
3.1 94
3.1 94
3.2 96
3.2 99
3.2 96
3.2 94
3.2 94
3.2 96
3.2 96
3.2 96
3.2 94
3.2 96
3.3 96
3.3 94
3.3 94
3.3 96
3.3 96
3.3 94
